,logFC,AveExpr,t,P.Value,adj.P.Val,B
,138.56,99.4,6.697678333,9.83E-05,0.015713574,-2.307901525
ARHGDIB,35.36,27.78,6.6628629,0.00010223,0.01571958,-2.313873105
MT1X,280.56,595.6,6.634432624,0.00010555,0.01571958,-2.31879841
TRBC1,3216.86,1746.55,6.63340773,0.000105672,0.01571958,-2.318976792
TRBC2,753.48,1673.72,6.633255572,0.00010569,0.01571958,-2.31900328
CMKLR1,117.92,185.08,6.631257466,0.000105928,0.01571958,-2.319351232
TWF2,3181.16,1732.42,6.625864013,0.000106574,0.01571958,-2.320291551
TSC22D1,100.54,120.87,6.618831147,0.000107422,0.01571958,-2.321520104
THRA,38.12,39.1,6.611485693,0.000108316,0.01571958,-2.322806185
ADAM8,38.3,57.21,6.585010995,0.000111607,0.016013013,-2.327466417
GAP43,18.4,13.62,6.555154644,0.000115449,0.016198366,-2.332769046
SH2D2A,47.14,55.67,6.543617981,0.000116972,0.016198366,-2.334831509
GLB1,966.06,916.23,6.539011229,0.000117586,0.016198366,-2.335657193
IGLC2,-824.96,1552.44,-6.535698455,0.00011803,0.016198366,-2.336251701
IGLC3,-226.66,315.07,-6.505700944,0.000122135,0.016581447,-2.341663629
CYBA,375.2,206.84,6.469622667,0.000127279,0.017096066,-2.348241425
INPP5D,177.72,146.9,6.448894014,0.000130342,0.017323143,-2.352055034
IGHG4,62.86,205.01,6.417251589,0.000135174,0.017778135,-2.357925413
IGHG2,-72.78,120.75,-6.37437087,0.000142036,0.018242477,-2.365976114
IGHG1,115.06,62.33,6.368356434,0.000143029,0.018242477,-2.367114166
IGHG3,-162.52,152.84,-6.368295598,0.000143039,0.018242477,-2.367125689
ST6GAL1,52.04,60.48,6.351245947,0.000145894,0.018420573,-2.370363835
CYFIP2,-457.34,365.91,-6.333675533,0.000148902,0.018614205,-2.373719463
MR1,1272.68,1260.82,6.320195859,0.000151255,0.018723037,-2.376306689
SLAMF1,380.56,464.68,6.282132607,0.000158123,0.019383126,-2.383673148
PAK1,68.92,53.02,6.270818291,0.00016023,0.019452492,-2.38588027
COL1A2,75.74,91.39,6.242351323,0.000165666,0.019920995,-2.391469108
HSP90AB1,57.12,61.1,6.201718292,0.000173779,0.020699339,-2.399535832
HSP90AB3P,-190.3,138.47,-6.182805238,0.000177702,0.020968792,-2.403326799
ADIPOR2,55.16,67.02,6.171544725,0.000180083,0.021053047,-2.405594902
,-196.54,145.55,-6.161624894,0.00018221,0.021106256,-2.407599815
PLEK,-158.02,241.73,-6.145481559,0.00018573,0.02115678,-2.410876351
MR1,41.56,74.72,6.144268027,0.000185997,0.02115678,-2.411123348
NFIC,38.26,34.25,6.101301645,0.000195748,0.021734722,-2.419931388
TAPBPL,-113.56,293.8,-6.099362204,0.000196201,0.021734722,-2.42033187
CD27,-601.92,354.02,-6.096739337,0.000196815,0.021734722,-2.420873875
LMOD1,-674.84,477.98,-6.09186084,0.000197964,0.021734722,-2.421883225
ITGB7,-392.22,313.75,-6.082435401,0.000200204,0.021790515,-2.423837856
TGFBR3,-58.52,68.58,-6.073122738,0.000202444,0.021790515,-2.425774979
,476.38,452.27,6.068158564,0.00020365,0.021790515,-2.42680997
PSME2,50.72,53.32,6.057596517,0.00020624,0.021882283,-2.429017629
PSME2P1,482.14,409.47,6.049859837,0.000208161,0.021902002,-2.430639547
MATK,136.58,87.23,6.009829976,0.000218414,0.022790893,-2.439096852
FZD2,285.32,367.42,5.993070069,0.000222869,0.023065165,-2.442670633
BTN3A3,-28.86,39.77,-5.9672933,0.000229916,0.023600985,-2.448205318
NOVA1,138.06,457.55,5.949761171,0.000234847,0.023912776,-2.451996395
PTPN7,871.74,1140.97,5.936911213,0.000238535,0.024093942,-2.454788813
AGTR1,571.44,737.5,5.920285268,0.0002434,0.024390221,-2.458419204
HNRNPA1,39.9,55.57,5.904881984,0.000248004,0.024655866,-2.461800246
PSD4,-222.66,289.33,-5.863732654,0.000260774,0.025648738,-2.47091646
ORAI2,19.28,28.06,5.859731606,0.000262053,0.025648738,-2.47180941
AATF,-44.34,74.73,-5.842459549,0.000267655,0.025883905,-2.475677615
MAOA,100.4,126.64,5.83888612,0.000268831,0.025883905,-2.476480643
ADIRF,66.64,42.8,5.822912643,0.000274153,0.025883905,-2.480081745
CDC42EP4,2215.32,1158.98,5.821471738,0.000274638,0.025883905,-2.480407514
KHDRBS3,505.38,385.01,5.82127015,0.000274706,0.025883905,-2.480453102
LILRB4,8.28,5.94,5.806610226,0.000279703,0.026159476,-2.483776479
BLNK,-641.42,349.95,-5.797319201,0.000282921,0.026265861,-2.485891015
TRBC2,-321.16,754.32,-5.776012519,0.000290453,0.026536243,-2.490764572
LCK,27.08,20.18,5.764928151,0.000294458,0.026536243,-2.493313437
ARHGAP4,-47.06,50.59,-5.760305568,0.000296145,0.026536243,-2.494379148
RBPMS,220.44,475.64,5.75879984,0.000296697,0.026536243,-2.494726634
UBE2L3,39.46,46.39,5.754843885,0.000298153,0.026536243,-2.495640394
UBE2L5,358.2,465.08,5.754057678,0.000298443,0.026536243,-2.495822136
,-59.32,81.02,-5.74453249,0.000301984,0.026631487,-2.498027737
,-616.56,742.44,-5.736937329,0.00030484,0.026631487,-2.49979138
C2,-463.44,660.96,-5.734290533,0.000305842,0.026631487,-2.500407016
CFB,229.12,216.88,5.69076277,0.000322848,0.027718111,-2.510608596
OAS1,262.22,179.57,5.68492726,0.000325205,0.027718111,-2.511987389
CYB5A,-216.86,118.89,-5.684679882,0.000325305,0.027718111,-2.512045897
IFNAR2,33.2,31.12,5.680262237,0.000327103,0.027718111,-2.513091528
IFNAR2-IL10RB,-726,1239.28,-5.674895704,0.000329301,0.027718329,-2.5143638
PAF1,-55.62,100.61,-5.658681599,0.000336039,0.028098228,-2.518221436
ADAM19,136.68,123.16,5.618919182,0.000353208,0.029114857,-2.527769248
